title,company,location,salary_avg,salary_min,salary_max,is_remote,seniority,category,skills,post_date,scraped_date
"Lead Software Engineer, Android",DraftKings,US,85000.0,0.0,170000.0,0,Senior,Engineering Jobs,"['spark', 'r']",2025-12-21,2025-12-22 00:08:01
Lead Data Analyst (J&CX),The Vanguard Group,US,82267.7,82267.7,82267.7,0,Senior,IT Jobs,"['sql', 'python', 'r']",2025-12-21,2025-12-22 00:08:01
Senior Power BI and Power Platform Analyst,D&G Support Services,"Portsmouth, Portsmouth City",80372.08,80372.08,80372.08,0,Senior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
AI / ML Engineer,Business Processing Solutions,"Philadelphia, Philadelphia County",110000.0,105000.0,115000.0,0,Junior,Accounting & Finance Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Virtual Administrative Remote,"Lake Wood Advisors, LLC","New York City, New York",68089.23,68089.23,68089.23,0,Senior,Customer Services Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Data Analyst Humanatic,"Lakewoods, Co","New York City, New York",56180.07,56180.07,56180.07,0,Junior,Admin Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Data Analyst,Genworth Financial,"Richmond, Richmond County",87380.71,87380.71,87380.71,0,Mid-level,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Contract Analyst,ICU Medical,"Dublin, Franklin County",57847.23,57847.23,57847.23,0,Mid-level,Accounting & Finance Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Program Management & Scrum Master (Data Analytics & AI) - Co-op,MSIG Holdings,"Warren, Somerset County",73159.87,73159.87,73159.87,0,Junior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
"Senior Financial Analyst, DC Infrastructure",CoreWeave,"New York City, New York",120500.0,98000.0,143000.0,0,Senior,Accounting & Finance Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Provider Data Management Specialist - Hybrid,Cigna Group,"Denver, Colorado",83220.77,83220.77,83220.77,0,Senior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
"Behavior Technician/Registered Behavior Technician (VA Area)_McLean, VA",Kona Medical Consulting,"Pimmit, Fairfax County",54080.0,45760.0,62400.0,0,Senior,Healthcare & Nursing Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Academic Reporting and Assessment Analyst,Harford Community College Portal,"Maryland, US",73188.27,73188.27,73188.27,0,Junior,Teaching Jobs,['r'],2025-12-21,2025-12-22 00:08:01
"Senior Director, Controllership Data Strategy & Execution",Salesforce,"Atlanta, Fulton County",224329.31,224329.31,224329.31,0,Senior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Manufacturing Data Analyst,Coherent,"Old Orchard, Northampton County",85963.18,85963.18,85963.18,0,Junior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Data & Impact Analyst,New Leaders Inc,US,91000.0,82992.0,99008.0,0,Junior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
"Senior Consultant, Data Analyst | Forensic and Litigation Consulting",FTI Consulting,"Madison, Morgan County",80293.48,80293.48,80293.48,0,Senior,Accounting & Finance Jobs,['r'],2025-12-21,2025-12-22 00:08:01
High Touch Customer Success Manager - PST,Ashby,"San Francisco, California",127500.0,110000.0,145000.0,0,Junior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Data Analyst,Point32Health,"Canton, Norfolk County",93580.0,74864.0,112296.0,0,Mid-level,HR & Recruitment Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Project Finance Analyst,Power Design,"Saint Petersburg, Pinellas County",79648.27,79648.27,79648.27,0,Junior,Accounting & Finance Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Product Manager - Data Analytics and Reports (Onsite),RTX,"Houston, Harris County",101500.0,0.0,203000.0,0,Junior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
"Data Analyst, Senior Specialist",The Vanguard Group,"Malvern, Chester County",75644.35,75644.35,75644.35,0,Senior,Sales Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Analytics Director,America Votes,"Washington, Washington, D.C.",130000.0,125000.0,135000.0,0,Junior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Workload Analyst,Kohls,US,77161.83,77161.83,77161.83,0,Mid-level,Retail Jobs,['r'],2025-12-21,2025-12-22 00:08:01
"Data Manager, Sr.",Tallgrass,"Houston, Harris County",240101.45,240101.45,240101.45,0,Senior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Casino Marketing Manager,Augustine Casino Careers,"Coachella, Riverside County",82233.41,82233.41,82233.41,0,Junior,Customer Services Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Data and Information Analyst (Court Clinic),Pmhcc Inc.,"Middle West, Philadelphia County",29558.0,0.0,59116.0,0,Junior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Business Data Architect,U.S. Bank,"Minneapolis, Hennepin County",162707.5,149515.0,175900.0,0,Junior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
"Analyst, Data Management - Fixed Income Indices",S&P Global,"Dallas, Texas",87649.95,87649.95,87649.95,0,Junior,Accounting & Finance Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Marketing Data Analyst,Optimal,"Austin, Travis County",85000.0,75000.0,95000.0,0,Junior,"PR, Advertising & Marketing Jobs",['r'],2025-12-21,2025-12-22 00:08:01
"Data Analyst, Go-to-Market",Ashby,"San Francisco, California",135000.0,120000.0,150000.0,0,Mid-level,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Quality Improvement Analyst-1,Public Partnerships,US,65500.0,61000.0,70000.0,0,Senior,Accounting & Finance Jobs,['r'],2025-12-21,2025-12-22 00:08:01
"Senior Data Analyst, Growth",CMTelematics,"Cambridge, Middlesex County",114550.0,101800.0,127300.0,0,Senior,Engineering Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Senior Data Analyst,Prizeout,"New York City, New York",96864.06,96864.06,96864.06,0,Senior,"PR, Advertising & Marketing Jobs",['r'],2025-12-21,2025-12-22 00:08:01
Senior Civil Engineering Project Manager,Alta Planning + Design,"Phoenix, Maricopa County",85202.34,85202.34,85202.34,0,Senior,Engineering Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Staff Engineer - Perf and Benchmarking,CoreWeave,"Sunnyvale, Santa Clara County",231500.0,188000.0,275000.0,0,Senior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Data Analyst (Remote),Quality Talent Group,"Glendale, Los Angeles County",95889.89,95889.89,95889.89,0,Mid-level,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Data Analyst (Remote),Quality Talent Group,"Victorville, San Bernardino County",94102.32,94102.32,94102.32,0,Mid-level,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Data Analyst (Remote),Quality Talent Group,"Columbus, Franklin County",85640.05,85640.05,85640.05,0,Mid-level,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Product Analytics Intern,Xometry,"North Bethesda, Montgomery County",55398.25,55398.25,55398.25,0,Junior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Senior Teradata Developer,Resource Informatics Group Inc,"Philadelphia, Philadelphia County",109744.82,109744.82,109744.82,0,Senior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Asset Management - Reporting and Information - Data Platform Area Product Owner - Vice President,J.P. Morgan,US,104500.0,104500.0,104500.0,0,Senior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Behavior Health Technician / BHT - IBHS Lancaster County,"CCRES, Educational & Behavioral Health Services","Lancaster, Lancaster County",56129.2,56129.2,56129.2,0,Senior,Admin Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Data Systems Analyst,Community Foundation of Western Massachusetts,"Springfield, Hampden County",84906.03,84906.03,84906.03,0,Mid-level,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
Business Intelligence Developer,Sitime Corporation,"Santa Clara, Santa Clara County",105508.66,105508.66,105508.66,0,Senior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
"Cybersecurity Analyst (RMF, Zero Trust, Data Centric Security)","VALENCOR, LLC","Chantilly, Fairfax County",109152.38,109152.38,109152.38,0,Junior,IT Jobs,['r'],2025-12-21,2025-12-22 00:08:01
