source,source_id,title,company,Company,location,Location,description,url,post_date,Post_Date,scraped_at,Scraped_Date,salary,salary_min,salary_max,Salary_Min,Salary_Max,contract_type,Job_Type,category,Skills,Is_Remote,Work_Arrangement,Desc_Length,Title_Word_Count,has_salary,Seniority,industry,job_hash,Salary_Avg,Salary_Range,job_grade,clearance_required,employment_type,government_grade
adzuna,5551038687,"Lead Software Engineer, Android",DraftKings,Draftkings,US,Us,"At DraftKings, AI is becoming an integral part of both our present and future, powering how work gets done today, guiding smarter decisions, and sparking bold ideas. It’s transforming how we enhance customer experiences, streamline operations, and unlock new possibilities. Our teams are energized by innovation and readily embrace emerging technology. We’re not waiting for the future to arrive. We’re shaping it, one bold step at a time. To those who see AI as a driver of progress, come build the…",https://www.adzuna.com/details/5551038687?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"Up to $170,000",0.0,170000.0,0.0,170000.0,Full-time,Full-time,Engineering Jobs,"['spark', 'r']",False,On-site,500,4,True,Senior,Engineering Jobs,d8d75ccd3094a4ae6c8827c27718fae5,,,,,,
adzuna,5551021581,Lead Data Analyst (J&CX),The Vanguard Group,The Vanguard Group,US,Us,"The ideal candidate has: A deep understanding of or interest to learn about the Personal Investor business Ability to take large disparate data and synthesize actionable insights for leadership consumption Strong technical skill set (SQL, python preferred) Experience with PI enterprise Data Desire & ability to collaborate closely with our business partners to consult & gather requirements Experience in building resilient reporting products (e.g. dashboards) Experience applying advanced analytic…",https://www.adzuna.com/details/5551021581?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$82,268 - $82,268",82267.7,82267.7,82267.7,82267.7,Full-time,Full-time,IT Jobs,"['sql', 'python', 'r']",False,On-site,500,4,True,Senior,IT Jobs,718196a1275ecae59270c963b618c300,82267.7,"$82,268-$82,268",,,,
adzuna,5551010606,Senior Power BI and Power Platform Analyst,D&G Support Services,D&g Support Services,"Portsmouth, Portsmouth City","Portsmouth, Portsmouth City","Power BI and Power Platform Analyst* Job Description Summary: The Power BI and Power Platform Analyst* designs, develops, and maintains Power BI reports, Power Apps, and SharePoint solutions supporting government logistics and systems environments. This role works closely with stakeholders to translate requirements into data driven solutions, integrates multiple data sources, supports scheduled reporting, and provides ad hoc analysis. The position supports system sustainment efforts and ensures…",https://www.adzuna.com/details/5551010606?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$80,372 - $80,372",80372.08,80372.08,80372.08,80372.08,permanent,permanent,IT Jobs,['r'],False,On-site,500,7,True,Senior,IT Jobs,ff4d81c3947725e8476ebc3261bcc096,80372.08,"$80,372-$80,372",,,,
adzuna,5551010180,AI / ML Engineer,Business Processing Solutions,Business Processing Solutions,"Philadelphia, Philadelphia County","Philadelphia, Philadelphia County","Join Our Team at Duncan Solutions, LLC Duncan Solutions, LLC, is a full-service transportation management company that focuses on connecting people, technology, and data to make cities more livable and efficient. As a leading provider of parking and tolling management solutions, we support municipal and commercial clients with citation processing, debt collection, DMV registered owner identification, back-office transaction processing, image review, customer service center and customer experien…",https://www.adzuna.com/land/ad/5551010180?se=IPVyLZze8BGIlMGgAbaBrg&utm_medium=api&utm_source=41102b43&v=0677FDC412E65549F8C0D6BB753DB51DEF375F29,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$105,000 - $115,000",105000.0,115000.0,105000.0,115000.0,Full-time,Full-time,Accounting & Finance Jobs,['r'],False,On-site,500,4,True,Junior,Accounting & Finance Jobs,e5cdc4f998816634c7667e27ebeead0c,110000.0,"$105,000-$115,000",,,,
adzuna,5551009746,Virtual Administrative Remote,"Lake Wood Advisors, LLC","Lake Wood Advisors,","New York City, New York","New York City, New York","a. Data Analyst Humanatic Reviewed recorded calls to ensure accuracy and consistency in call trend reports. Analyzed interaction data, identified patterns and quality issues, and provided reliable insights to support performance evaluation, reporting accuracy, and continuous service improvement. b, Virtual Assistant / Data Entry Clerk Performed accurate data entry, verification, and database cleanup while maintaining data integrity. Conducted LinkedIn research to identify and qualify leads, org…",https://www.adzuna.com/details/5551009746?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$68,089 - $68,089",68089.23,68089.23,68089.23,68089.23,Full-time,Full-time,Customer Services Jobs,['r'],False,On-site,500,3,True,Senior,Customer Services Jobs,a6880a01b28db76906572ca86acc4cb3,68089.23,"$68,089-$68,089",,,,
adzuna,5551009730,Data Analyst Humanatic,"Lakewoods, Co","Lakewoods, Co","New York City, New York","New York City, New York","Reviewed recorded calls to ensure accuracy and consistency in call trend reports. Analyzed interaction data, identified patterns and quality issues, and provided reliable insights to support performance evaluation, reporting accuracy, and continuous service improvement.",https://www.adzuna.com/details/5551009730?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$56,180 - $56,180",56180.07,56180.07,56180.07,56180.07,Full-time,Full-time,Admin Jobs,['r'],False,On-site,270,3,True,Junior,Admin Jobs,5b6f0d77fbd2c3b5db816a1255f3693e,56180.07,"$56,180-$56,180",,,,
adzuna,5551009686,Data Analyst,Genworth Financial,Genworth Financial,"Richmond, Richmond County","Richmond, Richmond County","At Genworth, we empower families to navigate the aging journey with confidence. We are compassionate, experienced allies for those navigating care with guidance, products, and services that meet families where they are. Further, we are the spouses, children, siblings, friends, and neighbors of those that need care—and we bring those experiences with us to work in serving our millions of policyholders each day. We apply that same compassion and empathy as we work with each other and our local co…",https://www.adzuna.com/details/5551009686?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$87,381 - $87,381",87380.71,87380.71,87380.71,87380.71,Full-time,Full-time,IT Jobs,['r'],False,On-site,500,2,True,Mid-level,IT Jobs,be38e817c8c4d3a95b07694c59ac079a,87380.71,"$87,381-$87,381",,,,
adzuna,5551007693,Contract Analyst,ICU Medical,Icu Medical,"Dublin, Franklin County","Dublin, Franklin County","Description The Contract Marketing Analyst is responsible for evaluating, writing and supporting the negotiation of contracts with the Field Sales Organization and coordinating responses to RFPs. The analyst is charged with implementing contracts within the Contracting system and monitoring contract operational performance. Essential Duties & Responsibilities Evaluate agreements and pricing strategies for the business to ensure compliance with legal and contractual obligations and determine act…",https://www.adzuna.com/details/5551007693?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$57,847 - $57,847",57847.23,57847.23,57847.23,57847.23,contract,contract,Accounting & Finance Jobs,['r'],False,On-site,500,2,True,Mid-level,Accounting & Finance Jobs,8aad982d59f3c22f7aceca9ca3b0711b,57847.23,"$57,847-$57,847",,,,
adzuna,5551006867,Program Management & Scrum Master (Data Analytics & AI) - Co-op,MSIG Holdings,Msig Holdings,"Warren, Somerset County","Warren, Somerset County","MSIG USA continues to grow! Company Overview: MSIG USA is the US-based subsidiary of MS&AD Insurance Group Holdings, Inc. , one of the world’s top P&C carriers and a global Class 15 insurer, with A ratings and a reach that spans 40 countries and regions. Leveraging our 350-year heritage, MSIG USA brings the financial strength, expertise, and global footprint to offer commercial insurance solutions that address your business’s unique risks. Location: Warren, NJ USA Duration: Graduate Co-op / Int…",https://www.adzuna.com/details/5551006867?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$73,160 - $73,160",73159.87,73159.87,73159.87,73159.87,contract,contract,IT Jobs,['r'],False,On-site,500,11,True,Junior,IT Jobs,8a403b40333ade13ec6770ae21655ef3,73159.87,"$73,160-$73,160",,,,
adzuna,5551005994,"Senior Financial Analyst, DC Infrastructure",CoreWeave,Coreweave,"New York City, New York","New York City, New York","CoreWeave is The Essential Cloud for AI™. Built for pioneers by pioneers, CoreWeave delivers a platform of technology, tools, and teams that enables innovators to build and scale AI with confidence. Trusted by leading AI labs, startups, and global enterprises, CoreWeave combines superior infrastructure performance with deep technical expertise to accelerate breakthroughs and turn compute into capability. Founded in 2017, CoreWeave became a publicly traded company (Nasdaq: CRWV) in March 2025. L…",https://www.adzuna.com/details/5551005994?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$98,000 - $143,000",98000.0,143000.0,98000.0,143000.0,permanent,permanent,Accounting & Finance Jobs,['r'],False,On-site,500,5,True,Senior,Accounting & Finance Jobs,aeff1433c066607ca7af8a799d0060c7,120500.0,"$98,000-$143,000",,,,
adzuna,5551005314,Provider Data Management Specialist - Hybrid,Cigna Group,Cigna Group,"Denver, Colorado","Denver, Colorado","Provider Data Management Analyst Are you ready to make a difference in healthcare analytics? Join our Market Analytics, Pricing & Solutions team as a Provider Data Management Analyst and help drive innovation, accuracy, and compliance in provider data management. If you thrive on solving complex challenges and collaborating with talented colleagues, this is your opportunity to grow and make an impact. Responsibilities Manage and maintain Healthcare Professional (HCP) contracted rates and demogr…",https://www.adzuna.com/details/5551005314?utm_medium=api&utm_source=41102b43,2025-12-21,2025-12-21,2025-12-22T00:08:01.898201,2025-12-22 00:08:01,"$83,221 - $83,221",83220.77,83220.77,83220.77,83220.77,Full-time,Full-time,IT Jobs,['r'],False,On-site,500,6,True,Senior,IT Jobs,b7cd0a45598b56c39da2e5e2182ed9e0,83220.77,"$83,221-$83,221",,,,
