title,company_standardized,location_standardized,source,seniority_level,job_type,work_arrangement,salary_min_parsed,salary_max_parsed,salary_midpoint,salary_range,is_remote,has_salary,post_date_str,description_length,title_word_count,required_skills,url,scraped_at_str,source_id,company,location,description,post_date,scraped_at,salary,salary_min,salary_max,contract_type,category,job_hash
"Senior Manager, Product Manager - Enterprise Payments",Capital One,"Mc Lean, Fairfax County",adzuna,Senior,Full-time,On-site,193000.0,220300.0,206650.0,"$193,000-$220,300",False,True,2025-12-21,500,7,r,https://www.adzuna.com/details/5551007041?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5551007041,Capital One,"Mc Lean, Fairfax County","Senior Manager, Product Manager - Enterprise Payments Product Management at Capital One is a booming, vibrant profession that requires reimagining the status quo, finding value creation opportunities, and driving innovative and sustainable customer experiences through technology. We believe our portfolio of businesses and investments in growth and transformation will result in a company with the scale, brand, capabilities, talent, and values to succeed as the digital revolution transforms our s…",2025-12-21,2025-12-21T23:42:37.985866,"$193,000 - $220,300",193000.0,220300.0,Full-time,IT Jobs,e3a19bc88d5bdbd83ea4722880c90df6
Program Management & Scrum Master (Data Analytics & AI) - Co-op,Msig Holdings,"Warren, Somerset County",adzuna,Mid-level,contract,On-site,73159.87,73159.87,73159.87,"$73,160-$73,160",False,True,2025-12-21,500,11,r,https://www.adzuna.com/details/5551006867?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5551006867,MSIG Holdings,"Warren, Somerset County","MSIG USA continues to grow! Company Overview: MSIG USA is the US-based subsidiary of MS&AD Insurance Group Holdings, Inc. , one of the world’s top P&C carriers and a global Class 15 insurer, with A ratings and a reach that spans 40 countries and regions. Leveraging our 350-year heritage, MSIG USA brings the financial strength, expertise, and global footprint to offer commercial insurance solutions that address your business’s unique risks. Location: Warren, NJ USA Duration: Graduate Co-op / Int…",2025-12-21,2025-12-21T23:42:37.989923,"$73,160 - $73,160",73159.87,73159.87,contract,IT Jobs,8a403b40333ade13ec6770ae21655ef3
Software Engineer I - Innovation,Nike,"Beaverton, Washington County",adzuna,Mid-level,Full-time,On-site,189260.0,189260.0,189260.0,"$189,260-$189,260",False,True,2025-12-21,500,5,"scala, r",https://www.adzuna.com/details/5551002594?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5551002594,Nike,"Beaverton, Washington County","WHO YOU’LL WORK WITH You’ll be part of a team of talented software engineers focused on delivering scalable, high-impact solutions across Nike’s product and consumer platforms. You’ll collaborate closely with product managers, architects, data scientists, and cross-functional engineering teams. WHO WE ARE LOOKING FOR We’re seeking a passionate software engineer who can thrive in a fast-paced, collaborative environment. You bring: Open to work in Beaverton, OR 0–2 years of software engineering e…",2025-12-21,2025-12-21T23:42:37.989923,"$189,260 - $189,260",189260.0,189260.0,Full-time,IT Jobs,47f22fd47dc76bd850bd59974db812ba
"Technical Product Manager, Senior Specialist (Marketing Analytics)",The Vanguard Group,"Malvern, Chester County",adzuna,Senior,Full-time,On-site,113105.25,113105.25,113105.25,"$113,105-$113,105",False,True,2025-12-21,500,7,r,https://www.adzuna.com/details/5550999474?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550999474,The Vanguard Group,"Malvern, Chester County","As the Senior Technical Product Manager responsible for the delivery of Vanguards Personal Investor Marketing Analytics Products you will work closely with data scientists, engineers, and stakeholders in sales to define and execute a transformative product roadmap. Leveraging machine learning and predictive analytics you'll provide actionable data driven recommendations that maximize the efficiency and effectiveness of our marketing teams. Responsibilities: Lead product management activities fo…",2025-12-21,2025-12-21T23:42:37.989923,"$113,105 - $113,105",113105.25,113105.25,Full-time,IT Jobs,fa5bbfb5485a14c5747a5a8fac803906
"Data Scientist, Director",Booz Allen Hamilton,"Florida, Us",adzuna,Director,Full-time,On-site,185700.0,345000.0,265350.0,"$185,700-$345,000",False,True,2025-12-21,500,3,r,https://www.adzuna.com/details/5550987325?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550987325,Booz Allen Hamilton,"Florida, US","Data Scientist, Director Key Role: Explores and exploits data sources through the use and creation of scientific processes and technologies to uncover and communicate business insights. Develops new applications based on professional principles and theories. Leads the strategy of development of solutions to highly complex problems. Exercises considerable latitude. Holds responsibility for the supervision and development of managers. Basic Qualifications: Experience with data visualization, data…",2025-12-21,2025-12-21T23:42:37.989923,"$185,700 - $345,000",185700.0,345000.0,Full-time,IT Jobs,5daf5c82f4582c3472d2c7038c33eeae
(USA) Software Engineer III,Walmart,"Sunnyvale, Santa Clara County",adzuna,Mid-level,Full-time,On-site,117000.0,234000.0,175500.0,"$117,000-$234,000",False,True,2025-12-21,500,4,"scala, r",https://www.adzuna.com/details/5550987239?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550987239,Walmart,"Sunnyvale, Santa Clara County","Position Summary What you'll do We are seeking a talented and passionate Software Engineer-III, you will be part of Catalog Engineering team and will be responsible for developing high performance and scalable Catalog Service that meet the needs of millions of Walmart customers. Design and develop integrations with next generation downstream application that is built largely on an event driven platform implemented via a micro-service architecture. We are looking to bring more intellectually cur…",2025-12-21,2025-12-21T23:42:37.989923,"$117,000 - $234,000",117000.0,234000.0,Full-time,IT Jobs,c993842c474718c82e9e1a034bb0b1a7
Analytics Director,America Votes,"Washington, Washington, D.C.",adzuna,Director,permanent,On-site,125000.0,135000.0,130000.0,"$125,000-$135,000",False,True,2025-12-21,500,2,r,https://www.adzuna.com/details/5550987002?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550987002,America Votes,"Washington, Washington, D.C.","Organization Overview America Votes works year-round to build a more representative democracy, strengthen every American's right to vote, and win elections in key states. America Votes leads a robust, growing coalition of more than 400 progressive organizations across the country, building coordinated plans and executing shared strategies to win elections. America Votes provides a range of services to partners, including strategic planning, advocacy and electoral campaign coordination, data too…",2025-12-21,2025-12-21T23:42:37.990620,"$125,000 - $135,000",125000.0,135000.0,permanent,IT Jobs,55fa0e0ffdf3018caf6f0980b3a73b3f
"Associate Director, Computational Biology",Valo Health,"Lexington, Middlesex County",adzuna,Junior,permanent,On-site,187000.0,240000.0,213500.0,"$187,000-$240,000",False,True,2025-12-21,500,4,r,https://www.adzuna.com/details/5550986603?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550986603,Valo Health,"Lexington, Middlesex County","About Us Valo Health is a human-centric, AI-enabled biotechnology company working to make new drugs for patients faster. The company’s Opal Computational Platform transforms drug discovery and development through a unique combination of real-world data, AI, human translational models and predictive chemistry. Our talented team of biologists, chemists and engineers, armed with advanced AI/ML tools, work together to break down traditional R&D silos and accelerate the speed and scale of drug disco…",2025-12-21,2025-12-21T23:42:37.990620,"$187,000 - $240,000",187000.0,240000.0,permanent,Scientific & QA Jobs,fe8fec19e35287424f4640444d0b07a2
AI/ML Engineer - Experienced,Fdm Group,"Five Corners, Hudson County",adzuna,Mid-level,Full-time,On-site,169366.4,169366.4,169366.4,"$169,366-$169,366",False,True,2025-12-21,500,4,r,https://www.adzuna.com/details/5550985992?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550985992,FDM Group,"Five Corners, Hudson County","About The Role This position requires the successful candidate to work on a W2 directly with FDM. We cannot accept C2C, 1099 or employment sponsorship (e.g. H1-B) for this position. FDM is a global business and technology consultancy delivering client and industry driven solutions through our 5 core specialist Practices; Software Engineering, Data & Analytics, IT Operations, Change & Transformation, and Risk, Regulation & Compliance. FDM is seeking a AI/ML Engineer located in or around Jersey C…",2025-12-21,2025-12-21T23:42:37.990620,"$169,366 - $169,366",169366.4,169366.4,Full-time,IT Jobs,335d0158a8975eced1848817f4a7f20f
UX Developer – Frontend Systems & Design at Scale,Centific,"Redmond, King County",adzuna,Mid-level,Full-time,On-site,199923.56,199923.56,199923.56,"$199,924-$199,924",False,True,2025-12-21,500,9,"scala, r",https://www.adzuna.com/details/5550985431?utm_medium=api&utm_source=41102b43,2025-12-21 23:42:37,5550985431,Centific,"Redmond, King County","About Centific Centific is a frontier AI data foundry that curates diverse, high-quality data, using our purpose-built technology platforms to empower the Magnificent Seven and our enterprise clients with safe, scalable AI deployment. Our team includes more than 150 PhDs and data scientists, along with more than 4,000 AI practitioners and engineers. We harness the power of an integrated solution ecosystem—comprising industry-leading partnerships and 1.8 million vertical domain experts in more t…",2025-12-21,2025-12-21T23:42:37.990620,"$199,924 - $199,924",199923.56,199923.56,Full-time,IT Jobs,772b910646604fe5607113ec7731cd93
