source,source_id,title,company,company_standardized,location,location_standardized,description,url,post_date,post_date_str,scraped_at,scraped_at_str,salary,salary_min,salary_max,contract_type,job_type,category,required_skills,is_remote,work_arrangement,salary_midpoint,salary_range,description_length,title_word_count,seniority,job_grade,clearance_required,employment_type
adzuna,5565754736,Data Scientist,"Signature Science, LLC","Signature Science,","Egg Harbor, Atlantic County","Egg Harbor, Atlantic County","Job Description Job Description Position Purpose: The primary purpose of this position is to serve as the data scientist with a split portfolio between the Atlantic City office and the Austin chemistry group. Essential Duties and Responsibilities: Performs data analytics, specifically data clean-up, data processing, predictive modeling, chemometric statistical modeling and analysis, multivariate data analysis, machine learning, and/or data mining, as related to scientific data. Applies technica…",https://www.adzuna.com/details/5565754736?utm_medium=api&utm_source=41102b43,2026-01-03,2026-01-03,2026-01-03T13:53:51.719110,2026-01-03 13:53:51,"$118,629 - $118,629",118628.84,118628.84,Full-time,Full-time,IT Jobs,r,False,On-site,118628.84,"$118,629-$118,629",500,2,Junior,,,
adzuna,5565754710,DATAS2 Data Scientist 2,4P Consulting Inc.,4P Consulting,"Atlanta, Fulton County","Atlanta, Fulton County","Job Description Job Description Job Summary: We are seeking a talented Data Scientist to support AI exploration and implementation to enhance our business operations. The ideal candidate will be responsible for identifying potential use cases for AI and leading efforts to build solutions for these use cases by leveraging machine learning algorithms and AI tools. As part of our leading-edge advanced analytics team, you will help drive analytics across the organization to improve customer experie…",https://www.adzuna.com/details/5565754710?utm_medium=api&utm_source=41102b43,2026-01-03,2026-01-03,2026-01-03T13:53:51.719110,2026-01-03 13:53:51,"$94,273 - $94,273",94272.53,94272.53,Full-time,Full-time,IT Jobs,r,False,On-site,94272.53,"$94,273-$94,273",500,4,Junior,,,
adzuna,5565751441,Data Scientist - Artificial Intelligence,"Computer Task Group, Inc","Computer Task Group,","Phoenix, Maricopa County","Phoenix, Maricopa County","Job Description Job Description Overview CTG is seeking to fill a Data Scientist - Artificial Intelligence opening for our premier client. Location : Phoenix, AZ Duration : 12 months A Data Scientist with expertise in Artificial Intelligence is a professional who skillfully combines data analysis and business acumen to tackle cognitive computing challenges. They are proficient in advanced analytics techniques for structured data and have a deep understanding of Natural Language Processing (NLP)…",https://www.adzuna.com/details/5565751441?utm_medium=api&utm_source=41102b43,2026-01-03,2026-01-03,2026-01-03T13:53:51.719110,2026-01-03 13:53:51,"$113,728 - $113,728",113727.61,113727.61,Full-time,Full-time,IT Jobs,r,False,On-site,113727.61,"$113,728-$113,728",500,5,Junior,,,
adzuna,5565749660,Data Scientist (Mid/Senior) - TS/SCI,Wiser,Wiser,"Springfield, Fairfax County","Springfield, Fairfax County","Job Description Job Description Data Scientist - TS/SCI Cleared Location: Springfield, VA Required Clearance: Top Secret/SCI Security Clearance Wiser offers innovative solutions to clients in the public, private, and government sectors. We combine technology and expertise to develop inventive solutions that deliver quality results and aid in critical decision making. With the flexibility and efficiency of a small business, we provide nimble responsiveness with the low risk and strong performanc…",https://www.adzuna.com/details/5565749660?utm_medium=api&utm_source=41102b43,2026-01-03,2026-01-03,2026-01-03T13:53:51.719110,2026-01-03 13:53:51,"$102,385 - $102,385",102385.36,102385.36,Full-time,Full-time,IT Jobs,r,False,On-site,102385.36,"$102,385-$102,385",500,5,Senior,,,
adzuna,5565749477,Senior Graph Data Scientist,Amida Technology Solutions,Amida Technology Solutions,"Washington, Washington, D.C.","Washington, Washington, D.C.","Job Description Job Description Amida Technology Solutions is a DC-based technology company focused on data interoperability, integrity, governance, and security. We create solutions that collect, reconcile, transform, and standardize data for business intelligence, advanced analytics, decision support, and user transactions. We specialize in taking data from inception to impact. Our team is composed of creative, forward-looking thinkers who are passionate about using cutting-edge technology to…",https://www.adzuna.com/details/5565749477?utm_medium=api&utm_source=41102b43,2026-01-03,2026-01-03,2026-01-03T13:53:51.719110,2026-01-03 13:53:51,"$127,825 - $127,825",127825.2,127825.2,Full-time,Full-time,IT Jobs,r,False,On-site,127825.2,"$127,825-$127,825",500,4,Senior,,,
adzuna,5565746541,Full-Stack Developer AI/ML,EM Key Solutions Inc,EM Key Solutions,"Winchester City, Virginia","Winchester City, Virginia","Job Description Job Description Full Stack Developer Location - Winchester, VA or Washington, DC This is an Onsite Position EMKS seeks a Full Stack Developer with a minimum of 3 years of professional experience and a bachelor's degree. The ideal candidate will have proven expertise in designing and developing scalable APIs, integrating AI/ML solutions, and building end-to-end applications in the AWS environment. Duties/Responsibilities: Design, develop, and maintain scalable APIs and web applic…",https://www.adzuna.com/details/5565746541?utm_medium=api&utm_source=41102b43,2026-01-03,2026-01-03,2026-01-03T13:53:51.719110,2026-01-03 13:53:51,"$122,244 - $122,244",122243.93,122243.93,Full-time,Full-time,IT Jobs,"scala, r, aws",False,On-site,122243.93,"$122,244-$122,244",500,3,Senior,,,
adzuna,5565744771,"Senior Data Scientist, Pricing",Gametime United,Gametime United,"New York City, New York","New York City, New York","Job Description Job Description About Us: Live experiences help people cross today's digital divide and focus on what truly connects us – the here, the now, this once-in-a-lifetime moment that's bringing us together. To fulfill Gametime's mission of uniting the world through shared experiences, we make it easy for people to discover and access the live experiences that matter most. With platforms on iOS, Android, mobile web and desktop supporting more than 60,000 events across the US and Canada…",https://www.adzuna.com/details/5565744771?utm_medium=api&utm_source=41102b43,2026-01-03,2026-01-03,2026-01-03T13:53:51.719110,2026-01-03 13:53:51,"$257,277 - $257,277",257277.0,257277.0,Full-time,Full-time,IT Jobs,r,False,On-site,257277.0,"$257,277-$257,277",500,4,Senior,,,
adzuna,5565744703,Sr. Product Designer,Cypress HCM,Cypress HCM,"Menlo Park, San Mateo County","Menlo Park, San Mateo County","Job Description Job Description Sr. Product Designer Build the future of the AI Data Cloud. Join our team. Our Design is a world-class team of curious problem solvers on a mission to evolve and improve the way the world works with data. Great design is a strategic differentiator for us — but that differentiation doesn’t come automatically. We’re looking for talented, collaborative, and technical designers to join the team and drive the mission forward while doing career-defining work. At our co…",https://www.adzuna.com/details/5565744703?utm_medium=api&utm_source=41102b43,2026-01-03,2026-01-03,2026-01-03T13:53:51.719110,2026-01-03 13:53:51,"$279,948 - $279,948",279947.78,279947.78,Full-time,Full-time,Engineering Jobs,r,False,On-site,279947.78,"$279,948-$279,948",500,3,Senior,,,
adzuna,5565741222,Senior Account Executive,Ownwell,Ownwell,"Austin, Travis County","Austin, Travis County","Job Description Job Description Company Background: Ownwell has developed a leading end-to-end property tax solution that is purpose-built for SFR and CRE investors, operators, and property managers. We have brought Data Science and Machine Learning to a space that is ripe for disruption. We combine a best-in-class technology stack with local market expertise to reduce expenses, increase Net Operating Income, and drive operational efficiency for both our institutional clients and individual hom…",https://www.adzuna.com/details/5565741222?utm_medium=api&utm_source=41102b43,2026-01-03,2026-01-03,2026-01-03T13:53:51.719110,2026-01-03 13:53:51,"$96,655 - $96,655",96655.05,96655.05,Full-time,Full-time,Sales Jobs,r,False,On-site,96655.05,"$96,655-$96,655",500,3,Senior,,,
adzuna,5565737970,Data Scientist - Perception Verification and Validation,Zoox,Zoox,"Foster City, San Mateo County","Foster City, San Mateo County","Job Description Job Description We are seeking a highly skilled and experienced Data Scientist to join our Perception Verification and Validation team. The team is responsible for verifying and validating the perception stack of our autonomous driving system. The candidate will work closely with other data scientists, perception engineers, and systems engineers to develop datasets and metrics to quantify the performance of our perception system. The candidate will also help define key performan…",https://www.adzuna.com/details/5565737970?utm_medium=api&utm_source=41102b43,2026-01-03,2026-01-03,2026-01-03T13:53:51.719110,2026-01-03 13:53:51,"$192,290 - $192,290",192289.92,192289.92,Full-time,Full-time,Engineering Jobs,r,False,On-site,192289.92,"$192,290-$192,290",500,7,Senior,,,
